900800,37
901000,37
901200,36
901400,36
901600,36
901800,37
902000,37
902200,37
902400,36
902600,36
902800,36
903000,36
903200,36
903400,37
903600,37
903800,36
904000,37
904200,37
904400,36
904600,36
904800,37
905000,36
905200,36
905400,36
905600,36
905800,36
906000,36
906200,37
906400,36
906600,36
906800,37
907000,36
907200,36
907400,37
907600,36
907800,37
908000,36
908200,36
908400,37
908600,36
908800,36
909000,36
909200,36
909400,37
909600,36
909800,36
910000,36
910200,36
910400,36
910600,36
910800,36
911000,36
911200,38
911400,36
911600,36
911800,36
912000,36
912200,37
912400,36
912600,36
912800,36
913000,37
913200,36
913400,37
913600,36
913800,36
914000,37
914200,36
914400,36
914600,36
914800,36
915000,36
915200,36
915400,36
915600,37
915800,37
916000,36
916200,36
916400,36
916600,36
916800,36
917000,36
917200,36
917400,36
917600,36
917800,36
918000,37
918200,36
918400,36
918600,36
918800,36
919000,36
919200,36
919400,36
919600,36
919800,36
920000,36
