900800,43
901000,42
901200,41
901400,41
901600,41
901800,42
902000,42
902200,42
902400,41
902600,42
902800,42
903000,43
903200,41
903400,40
903600,40
903800,42
904000,40
904200,40
904400,41
904600,41
904800,41
905000,41
905200,43
905400,42
905600,40
905800,40
906000,41
906200,41
906400,42
906600,40
906800,41
907000,41
907200,41
907400,41
907600,41
907800,44
908000,41
908200,40
908400,41
908600,42
908800,41
909000,41
909200,41
909400,43
909600,43
909800,41
910000,41
910200,41
910400,43
910600,42
910800,44
911000,44
911200,44
911400,44
911600,44
911800,42
912000,44
912200,43
912400,46
912600,44
912800,44
913000,44
913200,44
913400,43
913600,44
913800,44
914000,43
914200,45
914400,44
914600,42
914800,44
915000,43
915200,48
915400,48
915600,49
915800,49
916000,47
916200,45
916400,48
916600,44
916800,45
917000,46
917200,44
917400,42
917600,41
917800,42
918000,41
918200,41
918400,41
918600,42
918800,46
919000,43
919200,49
919400,50
919600,56
919800,65
920000,66
