1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
7,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,
8,1,0,2,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,
15,1,0,1,2,0,1,1,1,1,0,1,0,1,1,0,0,1,1,
17,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,1,0,1,1,0,2,1,1,1,0,1,1,0,0,0,0,1,1,
19,1,0,1,1,0,1,2,1,0,0,1,0,0,0,0,0,1,1,
33,1,0,1,1,0,1,1,2,1,0,1,0,0,0,0,0,1,1,
34,1,1,1,1,0,1,0,1,2,0,1,1,1,1,0,0,1,1,
35,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
38,1,0,1,1,0,1,1,1,1,0,2,1,0,0,0,0,1,1,
41,1,0,1,0,0,1,0,0,1,0,1,2,1,0,0,0,1,0,
42,1,1,1,1,0,0,0,0,1,0,0,1,2,1,0,0,1,1,
43,1,1,1,1,0,0,0,0,1,0,0,0,1,2,0,0,0,1,
45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,
47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,
49,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,2,0,
50,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,2,
