d3,96,01,02,02,01,
13,96,01,01,01,06,
53,dc,00,04,40,03,
d3,9c,01,04,10,01,
53,dc,00,04,08,06,
53,9c,00,04,20,01,
d3,9c,00,04,10,01,
d3,9c,01,04,11,01,
53,9c,00,04,20,01,
52,dc,00,04,08,06,
d2,94,00,03,11,01,
d2,9c,00,04,10,01,
d3,9c,01,04,11,01,
d3,9c,01,04,11,01,
d2,9c,00,04,10,01,
53,9c,00,04,20,01,
52,dc,00,04,40,03,
d3,9c,00,04,11,04,
c9,04,00,03,11,00,
53,9c,01,04,20,01,
53,9c,01,04,21,01,
d3,9c,01,04,11,01,
53,dc,00,04,08,06,
d2,9c,00,04,10,01,
53,9c,00,04,20,01,
c9,04,00,03,11,00,
52,5c,00,04,21,01,
d3,9c,01,04,11,01,
d3,9c,00,04,10,03,
d3,9c,00,04,10,01,
c9,04,00,03,11,00,
52,5c,00,04,08,06,
d2,9c,00,04,10,01,
12,96,00,01,01,01,
52,5c,00,04,21,01,
12,96,00,01,01,01,
d3,9c,01,04,10,01,
53,9c,00,04,20,01,
53,5c,00,04,10,00,
d3,9c,01,04,40,07,
53,9c,00,04,a1,00,
53,dc,00,04,40,03,
53,dc,00,04,08,06,
53,9c,00,04,20,01,
53,9c,01,04,18,01,
53,dc,01,04,08,06,
d3,9c,01,04,10,01,
d3,9c,00,04,10,01,
d3,9c,01,04,11,01,
d3,9c,01,04,11,01,
13,96,01,01,01,01,
d2,9c,00,04,11,01,
52,dc,00,04,08,06,
d3,16,01,02,02,01,
